Designator,Mid X,Mid Y,Rotation,Layer
D10,144.275,-96.11,0.0,top
D11,144.275,-102.96,0.0,top
D3,144.275,-55.01,0.0,top
D4,144.275,-61.86,0.0,top
D5,144.275,-68.71,0.0,top
D6,144.275,-75.56,0.0,top
D8,144.275,-82.41,0.0,top
D9,144.275,-89.26,0.0,top
SW1,160.57,-57.63,0.0,top
SW10,199.04,-76.85,0.0,top
SW11,198.95,-95.91,0.0,top
SW2,160.57,-76.77,0.0,top
SW3,179.7,-57.63,0.0,top
SW4,179.62,-78.88,0.0,top
SW5,160.6,-95.98,0.0,top
SW7,198.95,-57.63,0.0,top
SW9,179.73,-95.92,0.0,top
U1,179.68,-39.34,0.0,top
